ID,NameSubtext_lang,Description_lang,AuraDescription_lang
28504,,"Puts the imbiber in a dreamless sleep for $d.  During that time the imbiber heals 3600 health and 3600 mana.","Dreamless Sleep."
28505,,"Right Click to summon and dismiss your pet.",
28506,,"Increases Strength by $s2 and temporarily increases health by $s1 for $d.","Strength increased by $s2 and health temporarily increased by $s1."
28507,,"Increases haste rating by $s1 for $d.","Increases haste rating by $s1."
28508,,"Increases spell critical chance by $s2% and spell damage by $s1 for $d.","Spell Critical increased by $s2% and spell damage increased by $s1."
28514,,"Decreases the magical resistances of your spell targets by $s1 for $d.  Guardian Elixir.","Decreases the magical resistances of your spell targets by $s1.  Guardian Elixir."
28516,,"Use on Dar'Khan Drathir to release the energy contained in this item causing $o1 Arcane damage over $d and silencing the target.",Silenced.
28518,,"Increases maximum health by $s1 and defense rating by $s2 for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.","Increases health by $s1 and defense rating by $s2."
28519,,"Increases mana regeneration by $s1 mana per 5 seconds for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.","Mana Regeneration increased by $s1 per 5 seconds."
28520,,"Increases attack power by $s1 for $d. Counts as both a Battle and Guardian elixir.  This effect persists through death.","Attack power increased by $s1."
28521,,"Increases spell damage caused by Arcane, Holy and Nature spells by up to $s1 for $d.  Counts as both a Battle and Guardian elixir.  This effect persists through death.","Damage done by Arcane, Holy, and Nature spells increased by $s1."
28528,,"Visual displays a green ground fog.",
28531,,"Deals $s1 frost damage every $t1 sec.","Deals $s1 frost damage every $t1 sec."
28539,,"Increases the damage done by your Multi-Shot by $s1%.",
28540,,"Increases spell damage caused by Shadow, Fire and Frost spells by up to $s1 for $d.  Counts as both a Battle and Guardian elixir.  This effect persists through death.","Damage caused by Shadow, Fire and Frost spells increased by up to $s1."
28541,,"Increases the damge dealt and health regained by your Death Coil spell by $s1%.",
28542,,,"Drains $s1 health and heals Sapphiron for $*2;s1 every $t1 sec."
28547,,,"Deals $s1 damage every $t1 sec.
Slows movement speed by $s2%."
28548,,"Shrouds you from nearby enemies so you seem less threatening to them.",
28559,,"The caster becomes untrackable.",Untrackable.
28566,,"Transmutes Primal Air into Primal Fire.",
28567,,"Transmutes Primal Earth into Primal Water.",
28568,,"Transmutes Primal Fire into Primal Earth.",
28569,,"Transmutes Primal Water into Primal Air.",
28574,,"Increases your armor by an amount equal to $s1% of your Intellect.",
28580,,"Transmutes Primal Shadow into Primal Water.",
28581,,"Transmutes Primal Water into Primal Shadow.",
28582,,"Transmutes Primal Mana into Primal Fire.",
28583,,"Transmutes Primal Fire into Primal Mana.",
28584,,"Transmutes Primal Life into Primal Earth.",
28585,,"Transmutes Primal Earth into Primal Life.",
28592,"Rank 2","Gives your Frost damage spells a $h% chance to apply the Winter's Chill effect, which increases the chance a Frost spell will critically hit the target by $12579s1% for $12579d.  Stacks up to $12579u times.",
28593,"Rank 3","Gives your Frost damage spells a $h% chance to apply the Winter's Chill effect, which increases the chance a Frost spell will critically hit the target by $12579s1% for $12579d.  Stacks up to $12579u times.",
28594,"Rank 4","Gives your Frost damage spells a $h% chance to apply the Winter's Chill effect, which increases the chance a Frost spell will critically hit the target by $12579s1% for $12579d.  Stacks up to $12579u times.",
28595,"Rank 5","Gives your Frost damage spells a $h% chance to apply the Winter's Chill effect, which increases the chance a Frost spell will critically hit the target by $12579s1% for $12579d.  Stacks up to $12579u times.",
28596,Master,"Allows an alchemist to brew extraordinary potions up to a maximum potential skill of 375.",
28600,,"Teaches you how to make a Major Rejuvenation Potion.",
28609,"Rank 5","Absorbs $s1 Frost damage.  Lasts $d.","Absorbs Frost damage."
28610,"Rank 4","Absorbs $s1 shadow damage.  Lasts $d.","Absorbs Shadow damage."
28612,"Rank 7","Conjures $s1 $lcinnamon roll:cinnamon rolls;, providing the mage and $ghis:her; allies with something to eat.

Conjured items disappear if logged out for more than 15 minutes.",
28614,,"Throw a pointy spike.",
28622,,,"Stunned.
Deals $s2 damage every $t2 sec."
28624,,"Heals the targeted Draenei Survivor.",
28630,,"Draenei Survivor gets the stars twirling around the head stunned look.",
28672,,"Allows an Alchemist to sometimes to get greater results when transmuting materials.",
28675,,"Allows an alchemist to sometimes create an additional potion when brewing high level potions.",
28677,,"Allows an alchemist to sometimes create an additional elixir when brewing high level elixirs.",
28679,,"Reduce enemy's health and mana by $s1%.","All stats reduced by $s1%."
28681,,,"Increases all damage caused by $s1%."
28682,,,"Increases critical strike chance from Fire damage spells by $s1%."
28683,"Rank 1","Leaps forward up to $a1 yards.",
28694,,,"Regenerating $s1 health every 5 sec."
28695,Master,"How to find and gather Outland herbs.   Gives a potential herbalism skill of 375.",
28700,,"Disperse the Neutralizing Agent at the Irradiated Power Crystal in Silverline Lake.",
28704,,,"Stamina increased by $s1."
28705,,,"Agility increased by $s1."
28706,,,"Intellect increased by $s1."
28707,,,"Spirit increased by $s1."
28708,,,"Strength decreased by $s1."
28709,,,"Stamina decreased by $s1."
28710,,,"Agility decreased by $s1."
28711,,,"Intellect decreased by $s1."
28712,,,"Spirit decreased by $s1."
28714,,"Chance to strike a ranged or melee target for $28715s1 fire damage.   Also increases fire spell damage by up to $s1.  Lasts $d.","Chance to strike a ranged or melee target for $28715s1 fire damage and increases fire spell damage by up to $s1."
3117,,,
3120,,,
28719,,"On Healing Touch critical hits, you regain 30% of the mana cost of the spell.",
28721,,,"Even the plants here thrive on death!   Poison from the nightmare thorns inflicts $s1 damage every second."
28726,,"Increases your health by $s1 for $d.  When the effect ends the extra health will be lost.","Health increased by $s1."
28727,,,"Immune to charm."
28730,Racial,"Silence all enemies within $a1 yards for $d.  In addition, you gain $s2 Mana for each Mana Tap charge currently affecting you.",Silenced.
28732,,"Sacrifices self, prevents and removes enrage. Silences nature spells for $d.  Reduces casting speed by $s1%.","Sacrifices self, prevents and removes enrage. Silences nature spells for $d.  Reduces casting speed by $s1%."
28734,Racial,"Reduces target's mana by $s1 and charges you with Arcane energy for $d.  This effect stacks up to $u times.","Energizes you when consumed by Arcane Torrent."
28738,,"Right Click to summon and dismiss Speedy the turtle.",
28739,,"Right Click to summon and dismiss Mr. Wiggles the pig.",
28740,,"Right Click to summon and dismiss Whiskers the rat.",
28743,,"Reduces the mana cost of your Healing Touch, Regrowth, Rejuvenation,  and Tranquility spells by $s1%.",
28744,,"Your initial cast and Regrowth ticks will increase the maximum health of your target by up to 50, stacking up to 7 times.",
28745,,"Fills out the recruit's field duty information.",
28746,,"Your spell critical hits generate $s1% less threat.  In addition, Corruption, Immolate, Curse of Agony, and Siphon Life generate $s2% less threat.",
28750,,"Increases the friendly target's health by up to $s1 for $d.","Increases health by up to $s1."
28751,,"Reduces the mana cost of your Multi-Shot and Aimed Shot by $s1.",
28752,,"Your ranged critical hits cause an Adrenaline Rush, granting you $28753s1 mana.",
28755,,"Increases the duration of your Rapid Fire by $/1000;s1 sec.",
28756,,"While your pet is active, increases attack power by $28758s1 for both you and your pet.",
28758,,"Increases attack power by $s1.","Increases attack power by $s1."
28761,,"Your damage spells have a chance to displace you, causing the next spell cast to generate no threat.",
28762,,,"Reduces the threat generated by your next damage spell by $s1%."
28763,,"Reduces cooldown on your Evocation by $/60000;s1 minute.",
28764,,"Gives your Mage Armor a chance when struck by a harmful spell to increase resistance against that school of magic by $28770s for $28770d.",
28765,,"Increases fire resistance by $s1.  Lasts $d.","Increases fire resistance by $s1."
28766,,"Increases frost resistance by $s1.  Lasts $d.","Increases frost resistance by $s1."
28768,,"Increases nature resistance by $s1.  Lasts $d.","Increases nature resistance by $s1."
28769,,"Increases shadow resistance by $s1.  Lasts $d.","Increases shadow resistance by $s1."
28770,,"Increases arcane resistance by $s1.  Lasts $d.","Increases arcane resistance by $s1."
28771,,"Your damage spells have a chance to cause your target to take up to $28772s1 increased damage from subsequent spells.",
28772,,,"Vulnerable to elemental power, increasing the damage taken from spells by up to $s1."
28773,,"Increases the block value of your shield by $s1 for $d.","Block value increased by $s1."
28774,,"Reduces cooldown on your Lay on Hands by $/60000;s1 min.",
28775,,"Increases the amount healed by your Judgement of Light by $s1.",
28778,,"Increases resistances to all schools of magic by $s1 for $d.","All magic resistances increased by $s1."
28779,,"Increases damage and healing done by magical spells and effects by up to $s1 for $d.","Spell damage and healing increased by up to $s1."
28780,,"Increases healing done by the next 5 spells by up to $s1 and damage done by up to $s2 for $d.","Healing spells increased by up to $s1 and damage spells by up to $s2."
28786,,,"Deals $s1 nature damage every $t1 sec.
Unable to attack.
Unable to cast spells."
28787,,"Your Cleanse spell also heals the target for 200.",
28789,,"Your Flash of Light and Holy Light spells have a chance to imbue your target with Holy Power.",
28790,,"Increases the friendly target's armor by $s1 for $d.","Increases armor by $s1."
28791,,"Increases the friendly target's attack power by $s1 for $d.","Increases attack power by $s1."
28793,,"Increases the friendly target's spell damage and healing by up to $s1 for $d.","Increases spell damage and healing by up to $s1."
28795,,"Increases the friendly target's mana regeneration by $s1 per 5 sec. for $d.","Restores $s1 mana per 5 sec."
28798,,"Increases the caster's attack speed by $s2% and the Physical damage it deals by $s1 for $d.","Physical damage dealt is increased by $s1%.
Attack speed increased by $s2%."
28800,,"Use on a Frozen Rune to melt it free.",
28801,,,"All attributes reduced by $s1%.
Deals $s2 nature damage every $t2 sec."
28802,,"Each spell you cast can trigger an Epiphany, increasing your mana regeneration by $28804s1 for $28804d.",
28806,,"Right Click near a Fire Festival Bonfire to receive the Fire Festival Fury buff, or to reignite an extinguished bonfire. These are also used as currency at Midsummer Suppliers and Merchants.",
28807,,"Reduces the mana cost of your Renew spell by $s1%.",
28808,,"Reduces the threat from your healing spells.",
28809,,"On Greater Heal critical hits, your target will gain Armor of Faith, absorbing up to $28810s1 damage.",
28810,,"Absorbs $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.","Absorbs damage."
28811,,"Reduces the threat from your Backstab, Sinister Strike, Hemorrhage, and Eviscerate abilities.",
28812,,"Your Backstab, Sinister Strike, and Hemorrhage critical hits cause you to regain $28813s1 energy.",
28813,,"Restores $s1 energy.","You gain $s1 energy."
28814,,"Your Eviscerate has a chance per combo point to reveal a flaw in your opponent's armor, granting a 100% critical hit chance for your next Backstab, Sinister Strike, or Hemorrhage.",
28815,,"Increases the critical strike chance of your next Sinister Strike, Backstab, or Hemorrhage by $s1%.","Critical strike chance of your next Sinister Strike, Backstab, or Hemorrhage increased by $s1%."
28816,,"Your normal melee swings have a chance to Invigorate you, healing you for $28817s1.",
28817,,"Heal self for $s1.",
28818,,"Reduces the mana cost of your totem spells by $s1%.",
28820,,"Restores $s1 mana per 5 sec.","Restores $s1 mana per 5 sec."
3121,,,
3137,,,
28821,,"Your Lightning Shield spell also grants you $28820s1 mana per 5 sec. while active.",
28823,,"Your Healing Wave and Lesser Healing Wave spells have a chance to imbue your target with Totemic Power.",
28828,,"Summons and dismisses a rideable Nether Drake.  This is a very fast mount. You wish!","Increases speed by $s2%."
28829,,"Increases damage caused by your Corruption by $s1%.",
28830,,"Reduces health cost of your Life Tap by $s1%.",
28831,,"Your Shadow Bolts now have a chance to heal you for $28839s1.",
28832,,,"Additional damage taken from Mark of Korth'azz."
28833,,,"Additional damage taken from Mark of Blaumeux."
28834,,,"Additional damage taken from Mark of Mograine."
28835,,,"Additional damage taken from Mark of Zeliek."
28842,,"Improves your chance to hit with Sunder Armor, Devastate, Heroic Strike, Revenge, and Shield Slam by $s1%.",
28843,,"Improves your chance to hit with Taunt and Challenging Shout by $s1%.",
28844,,"Increases the damage done by your Revenge ability by $s1.",
28845,,"When your health drops below 20%, for the next 5 seconds healing spells cast on you help you to Cheat Death, increasing healing done by up to $28846s1.",
28846,,"Increases healing received by up to $s1.","Increases healing received by up to $s1."
28847,,"Gain up to $28848s1 mana each time you cast Healing Touch.",
28849,,"Regain up to $28850s1 mana each time you cast Lesser Healing Wave.",
28851,,"Increases healing done by Flash of Light by up to $s1.",
28852,,"Increases the melee attack power bonus of your Seal of the Crusader by $s1 and the Holy damage increase of your Judgement of the Crusader by $s2.",
28854,,"Increases the damage of your Moonfire spell by up to $s1.",
28855,,"Increases the damage dealt by your Maul ability by $s1 and Swipe ability by $s2.",
28857,,"Increases damage done by Chain Lightning and Lightning Bolt by up to $s1.",
28862,,"Reduces the threat you generate by ${35-$max(0,$PL-60)}% for $d.","Threat generation reduced by ${35-$max(0,$PL-60)}%."
28863,,"Summon a Void Zone that deals shadow damage to enemies that stand within it","$s1 Shadow damage to those in the zone."
28871,,"Summons or dismisses a Spirit of Summer.",
28875,"Racial Passive","Jewelcrafting skill increased by $s1.",
28877,"Racial Passive","Enchanting skill increased by $s1.",
28878,"Racial Passive","Increases chance to hit with spells by $s1% for you and all party members within $a1 yards.","Chance to hit with spells increased by $s1%."
28880,Racial,"Heals the target of $o1 damage over $d.","Healing $s1 damage every $t1 seconds."
28883,,"Sends bolts of holy power in all directions, causing $s1 Holy damage to all targets within $a1 yds, doubling between each jump.",
28891,,"While applied to target weapon it increases attack power against undead by 100. Lasts for 1 hour.",
28894,Expert,"Allows a jewelcrafter to make fantastic jewelry, up to a maximum potential skill of 225.",
28895,Artisan,"Allows a jewelcrafter to make fantastic jewelry, up to a maximum potential skill of 300.",
28897,Master,"Allows a jewelcrafter to make fantastic jewelry, up to a maximum potential skill of 375.",
28898,,"While applied to target weapon it increases spell damage against undead by up to 60. Lasts for 1 hour.",
28995,,,"$o1 health regenerated over $d."
28996,"Rank 1","Reduces damage taken from Fire, Frost and Nature effects by $s1%.",
28997,"Rank 2","Reduces damage taken from Fire, Frost and Nature effects by $s1%.",
28998,"Rank 3","Reduces damage taken from Fire, Frost and Nature effects by $s1%.",
28999,"Rank 1","Increases the range of your Lightning Bolt and Chain Lightning spells by $s1 yards.",
29000,"Rank 2","Increases the range of your Lightning Bolt and Chain Lightning spells by $s1 yards.",
29001,,,"It's time to dance!"
29004,,"Transforms target party memeber into a dancer!",
29005,"Rank 1","Increases the critical strike chance with your Shock, Lightning Bolt and Chain Lightning spells by $s1%.",
29006,,"Raise a toast to your friend!","You feel refreshed!  +$s1 Stamina!"
29007,,"Restores $o1 mana over $d.  Must remain seated while drinking.","Restores $/5;s1 mana per second."
29029,,"Restores $25888o1 health and $25889o1 mana over $25888d.  Must remain seated while eating.  If you spend at least 10 seconds eating you will become refreshed and gain $25941s1 Mana every 5 seconds for $25941d.","Restores ${$m2/5} mana per second."
29040,,,"Mana Regeneration increased by $s1 every 5 seconds."
29041,,"It's so good, you'll glow.","Restores $/5;s1 health per second."
29049,,"Deactivates the night elf moon crystal at An'owyn.",Deactivate
29054,,"Drains an enemy of $s1 mana and heals the caster for the mana stolen.",
29059,,"Summons and dismisses a skeletal steed.  This is a very fast mount.","Increases speed by $s2%."
29060,,"Taunts the target to attack you.",
29062,"Rank 1","Gives you a $h% chance to gain the Focused Casting effect that lasts for $29063d after being the victim of a melee or ranged critical strike.  The Focused Casting effect prevents you from losing casting time on Shaman spells when taking damage.",
29063,,"When cast, you no longer lose casting time on Shaman spells due to taking damage.  Lasts $d.","Cannot lose casting time on Shaman spells from taking damage."
29064,"Rank 2","Gives you a $h% chance to gain the Focused Casting effect that lasts for $29063d after being the victim of a melee or ranged critical strike.  The Focused Casting effect prevents you from losing casting time on Shaman spells when taking damage.",
29065,"Rank 3","Gives you a $h% chance to gain the Focused Casting effect that lasts for $29063d after being the victim of a melee or ranged critical strike.  The Focused Casting effect prevents you from losing casting time on Shaman spells when taking damage.",
29068,,"Increases your damage against undead by $s1%.",
29069,,"Increases your spell critical strike rating against undead by $s1.",
29074,"Rank 1","Your Fire and Frost spell criticals will refund $s1% of their base mana cost.",
29075,"Rank 2","Your Fire and Frost spell criticals will refund $s1% of their base mana cost.",
29076,"Rank 3","Your Fire and Frost spell criticals will refund $s1% of their base mana cost.",
29079,"Rank 2","Increases the damage caused by your Rockbiter Weapon by $s1%, your Windfury Weapon effect by $s3% and increases the damage caused by your Flametongue Weapon and Frostbrand Weapon by $s2%.",
3715,,,
29080,"Rank 3","Increases the damage caused by your Rockbiter Weapon by $s1%, your Windfury Weapon effect by $s3% and increases the damage caused by your Flametongue Weapon and Frostbrand Weapon by $s2%.",
29082,"Rank 1","Increases the damage you deal with all weapons by $s1%.",
29084,"Rank 2","Increases the damage you deal with all weapons by $s1%.",
29086,"Rank 3","Increases the damage you deal with all weapons by $s1%.",
29087,"Rank 4","Increases the damage you deal with all weapons by $s1%.",
29088,"Rank 5","Increases the damage you deal with all weapons by $s1%.",
29098,,"Drains health and mana from an enemy over $d. and transfers it to the caster.","Health and mana leeched over $d."
29107,,"Scream fiercely, burning $s1 mana from enemies.",
29109,,"Increases all spell damage done by an enemy by up to $s1 for $d.
Increases all spell damage taken by an enemy by up to $s2 for $d.","Spell damage done increased by $s1.
Spell damage taken increased by $s2."
29112,,"Increases attack power by $s1 when fighting Undead and Demons.  It also allows the acquisition of Scourgestones on behalf of the Argent Dawn.",
29113,,"Increases damage done to Undead and Demons by magical spells and effects by up to $s1.  It also allows the acquisition of Scourgestones on behalf of the Argent Dawn.",
29116,,"Creates 5 Toasted Smorcs when used at a cooking fire.",
29125,,,"Increases damage taken by $s1%."
29131,,,"Generating $/10;s1 Rage per second."
29140,"Rank 1","Increases your total Stamina by $s1% and your total Strength by $s2%.",
29143,"Rank 2","Increases your total Stamina by $s1% and your total Strength by $s2%.",
29144,"Rank 3","Increases your total Stamina by $s1% and your total Strength by $s2%.",
29145,"Rank 4","Increases your total Stamina by $s1% and your total Strength by $s2%.",
29146,"Rank 5","Increases your total Stamina by $s1% and your total Strength by $s2%.",
29150,,"Chance to discharge electricity causing $29151s1 Nature damage to your target.",
29151,,"Electric Discharge for $s1 Nature damage.",
29152,,"Afflicted by the Bloodmyst crystals, this creature has begun to exhibit signs of increased hostility.","Transformed by the radiation of the crystals in Bloodmyst."
29158,,"Pulls player to enemy and reduces their movement speed for $d.","Movement speed reduced for $d."
29159,,"Increases your spell critical strike rating by $s1 against undead.",
29162,,"When struck has a 15% chance of reducing the attacker's movement speed by 50% for 5 secs.  Chance to fizzle against targets over level 60.",
29166,,"Increases the target's Spirit based mana regeneration by $s2% and allows full mana regeneration while casting.  Lasts $d.","Spirit based mana regeneration increased by $s2%.  Full mana regeneration while casting."
29171,,"Increases the mana gained from your Mana Spring totems by $s1%.",
29175,,,"Experience gained from killing monsters increased by $s1%!"
29176,,"Shoots at the targeted Mutated Ravager.",
29177,"Rank 2",,"Increases your chance to get a critical strike with melee attacks by $s1%."
29178,"Rank 3",,"Increases your chance to get a critical strike with melee attacks by $s1%."
29179,"Rank 2","Your offensive spell crits will increase your chance to get a critical strike with melee attacks by $29177s1% for $29177d.",
29180,"Rank 3","Your offensive spell crits will increase your chance to get a critical strike with melee attacks by $29178s1% for $29178d.",
29181,,"Teleport player to the lair of the Twin Emperors.",
29182,,"Teleport player to the lair of the Twin Emperors.","Teleport player to the lair of the Twin Emperors."
29184,,,"Can't cast healing or curing spells."
29185,,,"Can only cast one healing or curing spell every 60 seconds."
29187,"Rank 1","Reduces the threat generated by your healing spells by $s1% and reduces the chance your spells will be dispelled by $s2%.",
29188,,"Teleport player to the final chamber.","Teleport player to the final chamber."
29189,"Rank 2","Reduces the threat generated by your healing spells by $s1% and reduces the chance your spells will be dispelled by $s2%.",
29191,"Rank 3","Reduces the threat generated by your healing spells by $s1% and reduces the chance your spells will be dispelled by $s2%.",
29192,"Rank 1","Increases the melee attack power bonus of your Windfury Totem by $s1% and increases the damage caused by your Flametongue Totem by $s2%.",
29193,"Rank 2","Increases the melee attack power bonus of your Windfury Totem by $s1% and increases the damage caused by your Flametongue Totem by $s2%.",
29200,,"Sprinkle over Tainted Helboar Meat to attempt to purify it.",
29202,"Rank 3","Your Healing Wave spells have a $s1% chance to increase the effect of subsequent Healing Wave spells on that target by $29203s1% for $29203d.  This effect will stack up to $29203u times.",
29203,,,"Increases Healing Wave's effect by up to $s1%."
29205,"Rank 2","Your Healing Wave spells have a $s1% chance to increase the effect of subsequent Healing Wave spells on that target by $29203s1% for $29203d.  This effect will stack up to $29203u times.",
29206,"Rank 1","Your Healing Wave spells have a $s1% chance to increase the effect of subsequent Healing Wave spells on that target by $29203s1% for $29203d.  This effect will stack up to $29203u times.",
29212,,"Increases the time between an enemy's attacks by $s2% and its movement by $s1%, in addition to reducing its Strength by $s3%. Lasts $d.","Movement speed reduced by $s1%.
Time between attacks increased by $s2%.
Strength reduced by $s3%."
29213,,"Curses the target with the Curse of the Plaguebringer. If the target is not dispelled of the curse, the target will become infected along with all nearby allies in a selected area with the Wrath of the Plaguebringer.","The Plague awaits you...."
29214,,"Infects nearby allies, inflicting Nature damage, then additional damage every $t1 sec. for $d.","Deals $s2 shadow damage every $t2 sec."
29220,,"Occasionally belch flame at enemies struck in melee for the next $d.","That brew sure warmed you up!"
29228,"Rank 6","Instantly sears the target with fire, causing $s1 Fire damage immediately and $o2 Fire damage over $d.","$s2 Fire damage every $t2 seconds."
29232,,,"Critical-hit chance increased by $s2%.
Spell critical-hit chance increased by $s3%.
Spells and abilities cause no threat."
29233,,"Increases your pet's damage by $s1%.","Increased damage by $s1%."
29235,,"Increases Stamina by 30 for $d.","Increases Stamina by 30."
29641,,"Shadow Shot for $s1 Shadow damage.",
29644,,"Fire Blast for $s1 Fire damage.",
29271,,"Releases the energy stored within the Power Core increasing damage done by magical spells and effects by up to $s1 for 30 sec.","Spell damage increased by up to $s1.
"
29274,,"Designer Note: The only purpose of this aura is to mark a player who just cast Nature's Swiftness.",
29279,,"Place Signaling Gem near the Altar of Aggonar to lure the draenei party to you.",
29290,,"Slows melee attack speed by $s1% per dose.  Stacks.","Melee attacks slowed by $s1%."
29292,,"Reduces the movement speed of enemies in an area by $s1% for $d.","Movement speed reduced by $s1%."
29293,,"Shoots poison at an enemy, inflicting $s2 Nature damage plus an additional $s3 damage every $t3 sec. for $d.","$s3 Nature damage inflicted every $t3 sec."
29297,,"Empty the vial near the Bones of Aggonar to cleanse the waters of their demonic taint.",
29298,,"Deals $s1 shadow damage to nearby enemies and interrupts spellcasting for $d.",
29299,,"Drains $s1 health from an enemy, transferring it to the caster.","Chance to drain health on hit."
29300,,"Emits a piercing shriek, inflicting $s1 physical damage and stunning the target for $d.  Threat is reduced while stunned.",Stunned.
29303,,"Strikes enemies near the caster, knocking them back and slowing their movement by $s2% for $d.","Movement slowed by $s2%."
29304,,"Periodically burns Mana, Energy, or Rage from an enemy for $d.","A foul chill courses through you.
Drains Mana, Energy, and Rage every $t1 sec."
29305,,"Summons a Cinder Elemental that will protect you for $d.",
29314,,"Heals Debilitated Grunts, turning them into healthy Clan Grunts.  Target must not be in combat.",
29315,,"Procs Phase Shift when the caster takes spell damage.",
29320,,"Charges the most distant enemy, inflicting normal damage plus $s3, then fears all nearby targets.",
29321,,"Strikes fear in nearby enemies, causing them to flee in terror for $d.","Fleeing in fear."
29323,,"Absorbs strength and stamina from nearby enemies and buffs strength of the caster.","Strength reduced by $s2.
Stamina reduced by $s3."
29325,,"Shoots acid bolts at an enemy, inflicting Nature damage, then additional damage every $t2 sec. for $d.","$s2 Nature damage inflicted every $t2 sec."
29326,,"Increases the caster's strength by $s1 for $d.  Stacks.","Strength increased by $s1%."
29332,,"Increases hit rating by $s1 for $d.","Increases hit rating by $s1."
29338,,,"Increases critical strike percent and spell critical strike percent by $s1."
29339,,"Calls upon Nature magic to heal a friendly horse.",
29341,,"Instantly blasts the target for $s2 Shadow damage.  If the target dies within $d of Shadowburn, and yields experience or honor, the caster gains a Soul Shard.","If target dies, casting warlock gets a Soul Shard."
29354,Master,"You are a Master Miner.  Gives a potential mining skill of 375.",
29356,,"Allows the miner to smelt fel iron ore into a fel iron bar.  Smelting fel iron requires a forge.",
29358,,"Allows the miner to smelt adamantite ore into an adamantite bar.  Smelting adamantite requires a forge.",
29359,,"Allows the miner to smelt eternium ore into an eternium bar.  Smelting eternium requires a forge.",
29360,,"Allows the miner to smelt eternium and fel iron bars into a felsteel bar.  Smelting felsteel requires a forge.",
29361,,"Allows the miner to smelt khorium ore into a khorium bar.  Smelting khorium requires a forge.",
29362,,"Drains $s1 health from an enemy, transferring it to the caster.","$s1 health drained every $t1."
29363,,"Drains $s1 health from an enemy, transferring it to the caster.","Melee attacks have a chance to steal health."
29364,,"Unleash the crystal's magic to encapsulate the essence of an Uncontrolled Voidwalker near death.",
29381,,"Places a Blessing on all nearby friendly targets, increasing their attack power by $s1 for $d.","Increases attack power by $s1."
29382,,"Protects the caster from all attacks and spells for $d., but also reduces attack speed by $s2% during that time.","Immune to all attacks and spells.
Attack speed reduced by $s2%."
29384,,"Sets light to the beacons in the Great Fissure.",
29385,,"Gives the caster a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Lasts $d.","Melee attacks have a chance to deal additional Holy damage."
29386,,"Judges the enemy for $s1 holy damage.",
29388,,"Sets your breath aflame!","Hot stuff!"
29407,,"Inflicts Shadow damage to an enemy and reduces its movement speed for $d.","$s1 Shadow damage inflicted every second for $d.
Movement speed reduced by $s2%."
29419,,"Causes all Beasts in a 5 yard radius to run away for $d.",Feared.
29435,,"Use when near a Female Kaliri Hatchling to capture her.",
29436,,"An instant shot that drains $o1 health and mana from its target over $d.","Burns $s1 health and mana every $t1 seconds."
29437,,"Toss into a Fire Festival Bonfire!",
29438,"Rank 1","Reduces the mana cost and chance targets resist your Frost and Fire spells by $s1%.",
29439,"Rank 2","Reduces the mana cost and chance targets resist your Frost and Fire spells by $s1%.",
29440,"Rank 3","Reduces the mana cost and chance targets resist your Frost and Fire spells by $s1%.",
29441,"Rank 1","Increases all resistances by $s2 and causes all spells you fully resist to restore $s1% of your total mana.  1 sec. cooldown.",
29443,,"Counters the enemy's spellcast, preventing any spell from that school of magic from being cast for $d.  Generates a high amount of threat.  Chance of failure when used against targets over level 60.",
29444,"Rank 2","Increases all resistances by $s2 and causes all spells you fully resist to restore $s1% of your total mana.  1 sec. cooldown.",
29445,"Rank 3","Increases all resistances by $s2 and causes all spells you fully resist to restore $s1% of your total mana.  1 sec. cooldown.",
29446,"Rank 4","Increases all resistances by $s2 and causes all spells you fully resist to restore $s1% of your total mana.  1 sec. cooldown.",
29447,"Rank 5","Increases all resistances by $s2 and causes all spells you fully resist to restore $s1% of your total mana.  1 sec. cooldown.",
29451,,"Allows the bearer full access to everything that the party at Saltheril's Haven has to offer.",
29452,,"Increase sharp weapon damage by 12 for 1 hour.",
29453,,"Increase sharp weapon damage by 12 and add 14 melee critical strike rating for 1 hour.",
29454,,"Attaches a Felsteel Spike to your shield that deals 26-38 damage every time you block with it.",
29646,,"Quill Shot for $s1 Nature damage.",
29647,,"Flaming Shell for $s1 Fire damage.",
29650,,,"Attacks slowed by $s1%."
29467,,"Permanently adds to a shoulder slot item increased damage and healing done by magical spells and effects up to 15 and also increases your spell critical strike rating by 14.",
29472,,"Wanton Hostess transforms into a Banshee.",
29475,,"Permanently adds to a shoulder slot item increased healing done by magical spells and effects up to 31, damage by up to 11, and also increases your mana regen by 5 mana per 5 sec.",
29476,,"Reduces all damage taken by $s1%.","Damage taken is reduced by $s1%."
29480,,"Permanently adds to a shoulder slot item increased Stamina by 16 and also grants 100 armor.",
29483,,"Permanently adds to a shoulder slot item increased attack power by 26 and also increases your critical strike rating by 14.",
29485,,,"Physical Damage done is reduced by $s1%."
29486,,,"Spell Damage done is reduced by $s1%."
29488,,"Night Mistress transforms into an undead female.",
29489,,"Concubine transforms into a Succubus.",
29490,,"Seduces nearby enemy targets for $d.",Charmed.
29492,,"Inflict searing pain on the enemy target, causing $s1 Fire damage.",
29494,,"Tempts an enemy for $d., giving it a chance to heal its target by $29495s1 on attack.","Your attacks have a high chance to heal your target."
